version1;version2;runtime
2007-05-20_17-12-43/;2007-06-01_14-40-03/;6
2007-06-01_14-40-03/;2007-07-01_14-53-06/;6
2007-07-01_14-53-06/;2007-08-01_23-30-54/;5
2007-08-01_23-30-54/;2007-09-02_14-51-54/;8
2007-09-02_14-51-54/;2007-10-01_09-59-01/;10
2007-10-01_09-59-01/;2007-11-02_23-31-10/;11
2007-11-02_23-31-10/;2007-12-02_01-43-18/;11
2007-12-02_01-43-18/;2008-01-02_19-55-04/;11
2008-01-02_19-55-04/;2008-02-01_01-41-57/;12
2008-02-01_01-41-57/;2008-03-01_09-35-39/;16
2008-03-01_09-35-39/;2008-04-01_14-47-57/;15
2008-04-01_14-47-57/;2008-05-02_09-19-29/;16
2008-05-02_09-19-29/;2008-06-01_10-10-22/;16
2008-06-01_10-10-22/;2008-07-01_01-57-36/;19
2008-07-01_01-57-36/;2008-08-01_02-15-05/;16
2008-08-01_02-15-05/;2008-09-01_15-23-04/;15
2008-09-01_15-23-04/;2008-10-02_13-30-31/;15
2008-10-02_13-30-31/;2008-11-01_00-10-51/;20
2008-11-01_00-10-51/;2008-12-01_12-36-41/;18
2008-12-01_12-36-41/;2009-01-01_17-52-09/;18
2009-01-01_17-52-09/;2009-02-01_00-40-45/;14
2009-02-01_00-40-45/;2009-03-01_04-50-18/;19
2009-03-01_04-50-18/;2009-04-01_11-24-04/;17
2009-04-01_11-24-04/;2009-05-01_03-00-04/;20
2009-05-01_03-00-04/;2009-06-01_11-26-30/;19
2009-06-01_11-26-30/;2009-07-02_12-04-50/;19
2009-07-02_12-04-50/;2009-08-01_06-53-03/;20
2009-08-01_06-53-03/;2009-09-02_11-49-25/;18
2009-09-02_11-49-25/;2009-10-02_01-10-32/;21
2009-10-02_01-10-32/;2009-11-01_04-01-30/;21
2009-11-01_04-01-30/;2009-12-01_02-32-01/;21
2009-12-01_02-32-01/;2010-01-01_16-45-43/;24
2010-01-01_16-45-43/;2010-02-01_04-55-30/;23
2010-02-01_04-55-30/;2010-03-02_15-02-45/;22
2010-03-02_15-02-45/;2010-04-01_15-09-44/;23
2010-04-01_15-09-44/;2010-05-02_14-17-07/;22
